"data_owner";"data_contributors";"site";"geographical_position";"geographical_position_specification";"geographical_latitude";"geographical_longitude";"geographical_altitude";"sampling_year";"sampling_month";"sampling_season";"multiple_sampling";"region";"landuse_type";"organism_groups";"trophic_levels";"sampling_methodology";"file";"stream_width"
"11";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"VEL08";"Czech Republic";"Czech Republic";48.8453;17.5566;378;"2021";"March, May, August, October, November";"spring, summer, autumn";"5";"continental humid";"forest";"Invertebrates";">1";"Surber";"Czech_length and mass_data_permanent_IdG.xlsx";NA
"12";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"VEL09";"Czech Republic";"Czech Republic";48.8766;17.6372;466;"2021";"March, May, November";"spring, autumn";"3";"continental humid";"forest";"Invertebrates";">1";"Surber";"Czech_length and mass_data_permanent_IdG.xlsx";NA
"13";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"VEL10";"Czech Republic";"Czech Republic";48.8672;17.5429;323;"2021";"May";"spring";"1";"continental humid";"agricultural area";"Invertebrates";">1";"Surber";"Czech_length and mass_data_permanent_IdG.xlsx";NA
"14";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"VEL11";"Czech Republic";"Czech Republic";48.8954;17.5759;394;"2021";"June";"summer";"1";"continental humid";"forest";"Invertebrates";">1";"Surber";"Czech_length and mass_data_permanent_IdG.xlsx";NA
"15";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"VEL15";"Czech Republic";"Czech Republic";48.8721;17.5647;352;"2021";"March";"spring";"1";"continental humid";"agricultural area";"Invertebrates";">1";"Surber";"Czech_length and mass_data_permanent_IdG.xlsx";NA
"16";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"VEL18";"Czech Republic";"Czech Republic";48.8675;17.6162;454;"2021";"March, October";"spring, autumn";"2";"continental humid";"agricultural area";"Invertebrates";">1";"Surber";"Czech_length and mass_data_permanent_IdG.xlsx";NA
"17";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP01";"Finland";"Finland";60.481367;24.656397;68.7949981689;"2021";"April, May, August, September, November";"spring, summer, autumn";"5";"cold temperate";"discontinuous urban fabric";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"18";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP02";"Finland";"Finland";60.469907;24.623038;86.3679962158;"2021";"May, June, November";"spring, summer, autumn";"3";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"19";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP03";"Finland";"Finland";60.457176;24.621249;58.7039985657;"2021";"June, August, September, November";"summer, autumn";"4";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"20";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP04";"Finland";"Finland";60.431312;24.532785;63.3100013733;"2021";"April, May, June, August, November";"spring, summer, autumn";"5";"cold temperate";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"21";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP05";"Finland";"Finland";60.345149;24.560472;69;"2021";"April, June, September";"spring, summer, autumn";"3";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"22";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP08";"Finland";"Finland";60.298508;24.64354;52.75;"2021";"April, June, August, November";"spring, summer, autumn";"4";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"23";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP10";"Finland";"Finland";60.3522;24.69313;37.2120018005;"2021";"June, August, September, November";"summer, autumn";"4";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"24";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP11";"Finland";"Finland";60.388047;24.523806;47.7150001526;"2021";"May";"spring";"1";"cold temperate";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"25";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP12";"Finland";"Finland";60.363523;24.640857;38.4620018005;"2021";"April, May, June";"spring, summer";"3";"cold temperate";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"26";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP13";"Finland";"Finland";60.358292;24.627062;61.3829994202;"2021";"August, September";"summer, autumn";"2";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"27";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP14";"Finland";"Finland";60.362754;24.652477;35.9869995117;"2021";"April, September";"spring, autumn";"2";"cold temperate";"sport and leisure facilities";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"28";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP17";"Finland";"Finland";60.324942;24.626211;58.7140007019;"2021";"May, August, September";"spring, summer, autumn";"3";"cold temperate";"agricultural area";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"29";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP18";"Finland";"Finland";60.354234;24.672479;38.2509994507;"2021";"April, May, June, August, September, November";"spring, summer, autumn";"6";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"30";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"LEP19";"Finland";"Finland";60.333863;24.6547;45.591999054;"2021";"November";"autumn";"1";"cold temperate";"forest";"Invertebrates";">1";"kick & sweep - standardized area";"Finland_length and mass_data_permanent_IdG.xlsx";NA
"31";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB01";"France";"France";46.0828385;5.6193299;222;"2021";"Nov-Dec";"autumn";"1";"pre-alpine";"forest";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"32";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB09";"France";"France";45.9533635;5.4380244;392;"2021";"Nov-Dec";"autumn";"1";"pre-alpine";"transitional woodland-shrub";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"33";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB11";"France";"France";45.9147409;5.3732252;538;"2021";"Mar-Apr, May-Jun";"spring";"2";"pre-alpine";"forest";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"34";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB12";"France";"France";45.8807964;5.4936681;330;"2021, 2022";"Mar-Apr, Jun-Jul, Nov-Dec, January";"spring, summer, autumn, winter";"4";"pre-alpine";"pastures";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"35";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB13";"France";"France";45.9205653;5.4424156;527;"2021";"Jun-Jul";"summer";"1";"pre-alpine";"forest";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"36";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB14";"France";"France";46.0565634;5.6178711;347;"2021";"Mar-Apr";"spring";"1";"pre-alpine";"forest";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"37";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB17";"France";"France";45.9678634;5.6080166;731;"2021, 2022";"May-Jun, September, January";"spring, autumn, winter";"3";"pre-alpine";"forest";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"38";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB18";"France";"France";45.8946851;5.4351605;321;"2021";"Mar-Apr";"spring";"1";"pre-alpine";"agricultural area";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"39";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"ALB20";"France";"France";45.9363426;5.5320655;268;"2021";"Mar-Apr, May-Jun, September";"spring, autumn";"3";"pre-alpine";"forest";"Invertebrates";">1";"Surber";"France_length and mass_data_permanent_IdG.xlsx";NA
"40";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUK01";"Hungary";"Hungary/ Baranya county";46.045215;17.978468;114;"2021";"June, August, October, December";"summer, autumn, winter";"4";"continental";"pastures";"Invertebrates";">1";"Surber";"Hungary_length and mass_data_permanent_IdG.xlsx";NA
"41";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUK03";"Hungary";"Hungary/ Baranya county";46.119656;18.000946;140;"2021";"Feb-March, April, August, October, December";"winter, spring, summer, autumn";"5";"continental";"pastures";"Invertebrates";">1";"Surber";"Hungary_length and mass_data_permanent_IdG.xlsx";NA
"42";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUK10";"Hungary";"Hungary/ Baranya county";46.105807;18.039878;236;"2021";"June";"summer";"1";"continental";"forest";"Invertebrates";">1";"Surber";"Hungary_length and mass_data_permanent_IdG.xlsx";NA
"43";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUK12";"Hungary";"Hungary/ Baranya county";46.103198;18.019859;178;"2021";"June, August, October";"summer, autumn";"3";"continental";"forest";"Invertebrates";">1";"Surber";"Hungary_length and mass_data_permanent_IdG.xlsx";NA
"44";"Anita Szloboda, Núria Bonada, Zoltán Csabai, Thibault Datry, Steven Declerck, Marko Milisa, Heikki Mykra, Petr Paril, Gabriel Singer, Casper van Leeuwen";"Bea Bartalovics, Balázs Berta, Bernadett Boóz, Edurne Estevez, Dorottya Hárságyi, Patrik Kis, Zsolt Kovács, Arnold Móra, Zsuzsanna Pap, Bálint Pernecker";"BUK15";"Hungary";"Hungary/ Baranya county";46.131829;18.003366;156;"2021";"April";"spring";"1";"continental";"forest";"Invertebrates";">1";"Surber";"Hungary_length and mass_data_permanent_IdG.xlsx";NA
